anime_id,Name,Genre
1,Cowboy Bebop,Action
1,Cowboy Bebop,Award Winning
1,Cowboy Bebop,Sci-Fi
5,Cowboy Bebop: Tengoku no Tobira,Action
5,Cowboy Bebop: Tengoku no Tobira,Sci-Fi
6,Trigun,Action
6,Trigun,Adventure
6,Trigun,Sci-Fi
7,Witch Hunter Robin,Action
7,Witch Hunter Robin,Drama
7,Witch Hunter Robin,Mystery
7,Witch Hunter Robin,Supernatural
8,Bouken Ou Beet,Adventure
8,Bouken Ou Beet,Fantasy
8,Bouken Ou Beet,Supernatural
15,Eyeshield 21,Sports
16,Hachimitsu to Clover,Comedy
16,Hachimitsu to Clover,Drama
16,Hachimitsu to Clover,Romance
17,Hungry Heart: Wild Striker,Comedy
17,Hungry Heart: Wild Striker,Slice of Life
17,Hungry Heart: Wild Striker,Sports
18,Initial D Fourth Stage,Action
18,Initial D Fourth Stage,Drama
19,Monster,Drama
19,Monster,Mystery
19,Monster,Suspense
20,Naruto,Action
20,Naruto,Adventure
20,Naruto,Fantasy
21,One Piece,Action
21,One Piece,Adventure
21,One Piece,Fantasy
22,Tennis no Ouji-sama,Sports
23,Ring ni Kakero 1,Action
23,Ring ni Kakero 1,Sports
24,School Rumble,Comedy
24,School Rumble,Romance
25,Sunabouzu,Action
25,Sunabouzu,Adventure
25,Sunabouzu,Comedy
25,Sunabouzu,Sci-Fi
25,Sunabouzu,Ecchi
26,Texhnolyze,Action
26,Texhnolyze,Drama
26,Texhnolyze,Sci-Fi
27,Trinity Blood,Action
27,Trinity Blood,Supernatural
28,Yakitate!! Japan,Comedy
28,Yakitate!! Japan,Gourmet
29,Zipang,Action
29,Zipang,Drama
29,Zipang,Sci-Fi
30,Neon Genesis Evangelion,Action
30,Neon Genesis Evangelion,Avant Garde
30,Neon Genesis Evangelion,Award Winning
30,Neon Genesis Evangelion,Drama
30,Neon Genesis Evangelion,Sci-Fi
30,Neon Genesis Evangelion,Suspense
31,Neon Genesis Evangelion: Death & Rebirth,Drama
31,Neon Genesis Evangelion: Death & Rebirth,Sci-Fi
32,Neon Genesis Evangelion: The End of Evangelion,Avant Garde
32,Neon Genesis Evangelion: The End of Evangelion,Drama
32,Neon Genesis Evangelion: The End of Evangelion,Sci-Fi
33,Kenpuu Denki Berserk,Action
33,Kenpuu Denki Berserk,Adventure
33,Kenpuu Denki Berserk,Drama
33,Kenpuu Denki Berserk,Fantasy
33,Kenpuu Denki Berserk,Horror
43,Koukaku Kidoutai,Action
43,Koukaku Kidoutai,Award Winning
43,Koukaku Kidoutai,Mystery
43,Koukaku Kidoutai,Sci-Fi
43,Koukaku Kidoutai,Suspense
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Action
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Drama
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Romance
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Action
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Adventure
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Comedy
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Romance
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama
47,Akira,Action
47,Akira,Adventure
47,Akira,Horror
47,Akira,Sci-Fi
47,Akira,Supernatural
48,.hack//Sign,Adventure
48,.hack//Sign,Fantasy
48,.hack//Sign,Mystery
49,Aa! Megami-sama!,Comedy
49,Aa! Megami-sama!,Romance
49,Aa! Megami-sama!,Supernatural
50,Aa! Megami-sama! (TV),Comedy
50,Aa! Megami-sama! (TV),Romance
50,Aa! Megami-sama! (TV),Supernatural
51,Tenshi Kinryouku,Action
51,Tenshi Kinryouku,Drama
51,Tenshi Kinryouku,Romance
51,Tenshi Kinryouku,Supernatural
52,Kidou Tenshi Angelic Layer,Award Winning
52,Kidou Tenshi Angelic Layer,Comedy
52,Kidou Tenshi Angelic Layer,Drama
52,Kidou Tenshi Angelic Layer,Sci-Fi
52,Kidou Tenshi Angelic Layer,Sports
53,Ai Yori Aoshi,Comedy
53,Ai Yori Aoshi,Drama
53,Ai Yori Aoshi,Romance
54,Appleseed (Movie),Action
54,Appleseed (Movie),Drama
54,Appleseed (Movie),Sci-Fi
55,Arc the Lad,Action
55,Arc the Lad,Adventure
55,Arc the Lad,Fantasy
55,Arc the Lad,Horror
55,Arc the Lad,Sci-Fi
56,Avenger,Adventure
56,Avenger,Fantasy
56,Avenger,Sci-Fi
57,Beck,Comedy
57,Beck,Drama
57,Beck,Slice of Life
58,Blue Gender,Adventure
58,Blue Gender,Drama
58,Blue Gender,Horror
58,Blue Gender,Romance
58,Blue Gender,Sci-Fi
59,Chobits,Comedy
59,Chobits,Drama
59,Chobits,Romance
59,Chobits,Sci-Fi
59,Chobits,Ecchi
60,Chrno Crusade,Action
60,Chrno Crusade,Romance
60,Chrno Crusade,Supernatural
61,D.N.Angel,Action
61,D.N.Angel,Comedy
61,D.N.Angel,Fantasy
61,D.N.Angel,Romance
62,D.C.: Da Capo,Drama
62,D.C.: Da Capo,Romance
63,DearS,Comedy
63,DearS,Romance
63,DearS,Sci-Fi
63,DearS,Ecchi
64,Rozen Maiden,Action
64,Rozen Maiden,Comedy
64,Rozen Maiden,Drama
65,Rozen Maiden: Träumend,Action
65,Rozen Maiden: Träumend,Comedy
65,Rozen Maiden: Träumend,Drama
66,Azumanga Daiou The Animation,Comedy
66,Azumanga Daiou The Animation,Slice of Life
67,Basilisk: Kouga Ninpou Chou,Action
67,Basilisk: Kouga Ninpou Chou,Drama
67,Basilisk: Kouga Ninpou Chou,Romance
68,Black Cat (TV),Action
68,Black Cat (TV),Adventure
68,Black Cat (TV),Sci-Fi
69,Cluster Edge,Action
69,Cluster Edge,Fantasy
69,Cluster Edge,Sci-Fi
71,Full Metal Panic!,Action
71,Full Metal Panic!,Comedy
71,Full Metal Panic!,Sci-Fi
72,Full Metal Panic? Fumoffu,Action
72,Full Metal Panic? Fumoffu,Comedy
73,Full Metal Panic! The Second Raid,Action
74,Gakuen Alice,Comedy
74,Gakuen Alice,Fantasy
75,Soukyuu no Fafner: Dead Aggressor,Action
75,Soukyuu no Fafner: Dead Aggressor,Drama
75,Soukyuu no Fafner: Dead Aggressor,Sci-Fi
76,Mahou Shoujo Lyrical Nanoha,Action
76,Mahou Shoujo Lyrical Nanoha,Comedy
76,Mahou Shoujo Lyrical Nanoha,Drama
77,Mahou Shoujo Lyrical Nanoha A's,Action
77,Mahou Shoujo Lyrical Nanoha A's,Comedy
77,Mahou Shoujo Lyrical Nanoha A's,Drama
79,Shuffle!,Comedy
79,Shuffle!,Drama
79,Shuffle!,Fantasy
79,Shuffle!,Romance
79,Shuffle!,Ecchi
80,Kidou Senshi Gundam,Action
80,Kidou Senshi Gundam,Drama
80,Kidou Senshi Gundam,Sci-Fi
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,Adventure
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,Drama
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,Romance
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,Sci-Fi
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Drama
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Sci-Fi
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Drama
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Romance
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Sci-Fi
84,Kidou Senshi Gundam 0083: Stardust Memory,Adventure
84,Kidou Senshi Gundam 0083: Stardust Memory,Drama
84,Kidou Senshi Gundam 0083: Stardust Memory,Romance
84,Kidou Senshi Gundam 0083: Stardust Memory,Sci-Fi
85,Kidou Senshi Zeta Gundam,Drama
85,Kidou Senshi Zeta Gundam,Romance
85,Kidou Senshi Zeta Gundam,Sci-Fi
86,Kidou Senshi Gundam ZZ,Comedy
86,Kidou Senshi Gundam ZZ,Drama
86,Kidou Senshi Gundam ZZ,Sci-Fi
87,Kidou Senshi Gundam: Gyakushuu no Char,Drama
87,Kidou Senshi Gundam: Gyakushuu no Char,Sci-Fi
88,Kidou Senshi Gundam F91,Drama
88,Kidou Senshi Gundam F91,Sci-Fi
89,Kidou Senshi Victory Gundam,Drama
89,Kidou Senshi Victory Gundam,Sci-Fi
90,Shin Kidou Senki Gundam Wing,Action
90,Shin Kidou Senki Gundam Wing,Drama
90,Shin Kidou Senki Gundam Wing,Sci-Fi
91,Shin Kidou Senki Gundam Wing: Endless Waltz,Action
91,Shin Kidou Senki Gundam Wing: Endless Waltz,Award Winning
91,Shin Kidou Senki Gundam Wing: Endless Waltz,Drama
91,Shin Kidou Senki Gundam Wing: Endless Waltz,Sci-Fi
92,Kidou Shinseiki Gundam X,Adventure
92,Kidou Shinseiki Gundam X,Drama
92,Kidou Shinseiki Gundam X,Sci-Fi
93,Kidou Senshi Gundam SEED,Action
93,Kidou Senshi Gundam SEED,Award Winning
93,Kidou Senshi Gundam SEED,Drama
93,Kidou Senshi Gundam SEED,Romance
93,Kidou Senshi Gundam SEED,Sci-Fi
94,Kidou Senshi Gundam SEED Destiny,Action
94,Kidou Senshi Gundam SEED Destiny,Drama
94,Kidou Senshi Gundam SEED Destiny,Romance
94,Kidou Senshi Gundam SEED Destiny,Sci-Fi
95,Turn A Gundam,Action
95,Turn A Gundam,Adventure
95,Turn A Gundam,Award Winning
95,Turn A Gundam,Drama
95,Turn A Gundam,Romance
95,Turn A Gundam,Sci-Fi
96,Kidou Butouden G Gundam,Adventure
96,Kidou Butouden G Gundam,Comedy
96,Kidou Butouden G Gundam,Drama
96,Kidou Butouden G Gundam,Romance
96,Kidou Butouden G Gundam,Sci-Fi
96,Kidou Butouden G Gundam,Sports
97,Last Exile,Action
97,Last Exile,Adventure
97,Last Exile,Sci-Fi
98,Mai-HiME,Action
98,Mai-HiME,Fantasy
98,Mai-HiME,Girls Love
99,Mai-Otome,Comedy
99,Mai-Otome,Drama
99,Mai-Otome,Fantasy
100,Shin Shirayuki-hime Densetsu Prétear,Comedy
100,Shin Shirayuki-hime Densetsu Prétear,Drama
100,Shin Shirayuki-hime Densetsu Prétear,Fantasy
100,Shin Shirayuki-hime Densetsu Prétear,Romance
101,Air,Drama
101,Air,Romance
101,Air,Supernatural
102,Aishiteruze Baby★★,Comedy
102,Aishiteruze Baby★★,Drama
102,Aishiteruze Baby★★,Romance
103,Akazukin Chacha,Adventure
103,Akazukin Chacha,Comedy
103,Akazukin Chacha,Fantasy
103,Akazukin Chacha,Romance
104,Ayashi no Ceres,Adventure
104,Ayashi no Ceres,Drama
104,Ayashi no Ceres,Horror
104,Ayashi no Ceres,Romance
104,Ayashi no Ceres,Supernatural
104,Ayashi no Ceres,Suspense
105,Boys Be...,Comedy
105,Boys Be...,Romance
105,Boys Be...,Slice of Life
106,Hana yori Dango,Drama
106,Hana yori Dango,Romance
107,Ou Dorobou Jing,Adventure
107,Ou Dorobou Jing,Comedy
107,Ou Dorobou Jing,Fantasy
107,Ou Dorobou Jing,Sci-Fi
108,Ou Dorobou Jing in Seventh Heaven,Adventure
108,Ou Dorobou Jing in Seventh Heaven,Comedy
108,Ou Dorobou Jing in Seventh Heaven,Fantasy
109,Bakuretsu Tenshi,Adventure
109,Bakuretsu Tenshi,Comedy
109,Bakuretsu Tenshi,Sci-Fi
110,Chuuka Ichiban!,Action
110,Chuuka Ichiban!,Comedy
110,Chuuka Ichiban!,Drama
110,Chuuka Ichiban!,Gourmet
111,Corrector Yui,Adventure
111,Corrector Yui,Comedy
111,Corrector Yui,Sci-Fi
112,Chou Henshin Cosprayers,Action
112,Chou Henshin Cosprayers,Adventure
112,Chou Henshin Cosprayers,Comedy
112,Chou Henshin Cosprayers,Fantasy
112,Chou Henshin Cosprayers,Sci-Fi
112,Chou Henshin Cosprayers,Ecchi
113,Uchuu no Stellvia,Action
113,Uchuu no Stellvia,Romance
113,Uchuu no Stellvia,Sci-Fi
114,Sakigake!! Cromartie Koukou,Comedy
115,El Hazard: The Alternative World,Adventure
115,El Hazard: The Alternative World,Comedy
115,El Hazard: The Alternative World,Fantasy
116,El Hazard: The Wanderers,Adventure
116,El Hazard: The Wanderers,Comedy
116,El Hazard: The Wanderers,Fantasy
116,El Hazard: The Wanderers,Romance
117,El Hazard: The Magnificent World,Adventure
117,El Hazard: The Magnificent World,Comedy
117,El Hazard: The Magnificent World,Fantasy
117,El Hazard: The Magnificent World,Romance
118,El Hazard 2: The Magnificent World,Adventure
118,El Hazard 2: The Magnificent World,Comedy
118,El Hazard 2: The Magnificent World,Fantasy
119,Final Approach,Comedy
119,Final Approach,Drama
119,Final Approach,Romance
120,Fruits Basket,Drama
120,Fruits Basket,Romance
120,Fruits Basket,Supernatural
121,Fullmetal Alchemist,Action
121,Fullmetal Alchemist,Adventure
121,Fullmetal Alchemist,Award Winning
121,Fullmetal Alchemist,Drama
121,Fullmetal Alchemist,Fantasy
122,Full Moon wo Sagashite,Comedy
122,Full Moon wo Sagashite,Drama
122,Full Moon wo Sagashite,Romance
122,Full Moon wo Sagashite,Supernatural
123,Fushigi Yuugi,Adventure
123,Fushigi Yuugi,Fantasy
123,Fushigi Yuugi,Romance
124,Fushigi Yuugi: Eikouden,Adventure
124,Fushigi Yuugi: Eikouden,Drama
124,Fushigi Yuugi: Eikouden,Fantasy
124,Fushigi Yuugi: Eikouden,Romance
125,Futakoi,Comedy
125,Futakoi,Romance
126,Futakoi Alternative,Comedy
126,Futakoi Alternative,Drama
126,Futakoi Alternative,Romance
127,Gate Keepers,Action
127,Gate Keepers,Comedy
127,Gate Keepers,Fantasy
127,Gate Keepers,Sci-Fi
128,Gate Keepers 21,Action
128,Gate Keepers 21,Drama
128,Gate Keepers 21,Sci-Fi
129,Gensoumaden Saiyuuki,Action
129,Gensoumaden Saiyuuki,Adventure
129,Gensoumaden Saiyuuki,Comedy
129,Gensoumaden Saiyuuki,Drama
129,Gensoumaden Saiyuuki,Supernatural
130,Saiyuuki Reload,Action
130,Saiyuuki Reload,Adventure
130,Saiyuuki Reload,Comedy
130,Saiyuuki Reload,Drama
130,Saiyuuki Reload,Supernatural
131,Saiyuuki Reload Gunlock,Action
131,Saiyuuki Reload Gunlock,Adventure
131,Saiyuuki Reload Gunlock,Comedy
131,Saiyuuki Reload Gunlock,Drama
131,Saiyuuki Reload Gunlock,Supernatural
132,GetBackers,Action
132,GetBackers,Mystery
132,GetBackers,Supernatural
133,Green Green,Comedy
133,Green Green,Romance
133,Green Green,Ecchi
134,Gunslinger Girl,Action
134,Gunslinger Girl,Drama
134,Gunslinger Girl,Sci-Fi
135,Hikaru no Go,Comedy
135,Hikaru no Go,Drama
135,Hikaru no Go,Supernatural
136,Hunter x Hunter,Action
136,Hunter x Hunter,Adventure
136,Hunter x Hunter,Fantasy
137,Hunter x Hunter: Original Video Animation,Action
137,Hunter x Hunter: Original Video Animation,Adventure
137,Hunter x Hunter: Original Video Animation,Fantasy
138,Hunter x Hunter: Greed Island,Action
138,Hunter x Hunter: Greed Island,Adventure
138,Hunter x Hunter: Greed Island,Fantasy
139,Hunter x Hunter: Greed Island Final,Action
139,Hunter x Hunter: Greed Island Final,Adventure
139,Hunter x Hunter: Greed Island Final,Fantasy
